Year,Ton Exports (Viet),Value (Viet),Adjust Value (Viet - 2010 USD),Ton Exports (Brazil),Value (Brazil),Adjust Value (Brazil - 2010 USD),% Share of Viet Exports,GDP,Inflation,Unit Value (Viet),Unit Value (Brazil),Transport Cost (Viet),Transport Cost (Brazil),Total Production (Viet) ,Total Production (Brazil) ,Total Production (World),Total Production Percentage (Viet),Total Production Percentage (Brazil)
2010,151378,233014.846,233014.85,385747.34,1136098.37,1136098.37,0.124297543,3.40E+12,1.103810378,1.53929135,2.945187829,100,100,1164900,3270000,8484540,13.73,38.54
2011,135893,296249.465,287361.98,361691.84,1663846.26,1613930.87,0.108160962,3.75E+12,2.075172837,2.114619451,4.462171127,98.03,114,1560000,2952000,8690220,17.95,33.97
2012,207919,427178.275,405819.36,289662.62,1121761.90,1065673.80,0.120034801,3.53E+12,2.008488848,1.951814703,3.679017398,102.04,95.62,1590000,3456000,9481080,16.77,36.45
2013,184957,364692.818,342811.25,327842.81,859944.08,808347.43,0.142069489,3.73E+12,1.504723303,1.853464583,2.465655534,104.84,98.32,1789980,3432000,9603240,18.64,35.74
2014,253439,504571.7829,464206.04,397823.80,1274429.05,1172474.72,0.149865487,3.89E+12,0.906794,1.831626735,2.94722116,102.68,98.76,1644000,3258000,9227760,17.82,35.31
2015,193961,363353.94,334285.62,386238.88,1055747.82,971287.99,0.144639075,3.36E+12,0.514426137,1.723468248,2.514733853,86.37,62.43,1735800,2964000,9144240,18.98,32.41
2016,275679,493812.127,449369.04,370836.84,953748.03,867910.70,0.154733106,3.47E+12,0.491747008,1.630044492,2.340411205,85.53,60.4,1602000,3366000,9667740,16.57,34.82
2017,222663,476522.019,424104.6,329071.67,879183.42,782473.24,0.154404376,3.69E+12,1.509494851,1.904692728,2.377820174,89.69,77.79,1758000,3126000,9590340,18.33,32.60
2018,260475,459031.25,399357.19,323563.51,749513.70,652076.92,0.138677555,3.97E+12,1.732168798,1.533188166,2.015298055,98.69,94.46,1824000,3990000,10557360,17.28,37.79
2019,234569,366278.83,311337.01,383933.51,793428.15,674413.92,0.141882275,3.89E+12,1.445659769,1.327272596,1.756590405,104.96,79.65,1878000,3630000,10144800,18.51,35.78
2020,223581,350409.66,294344.11,441015.14,965861.61,811323.75,0.142837703,3.89E+12,0.144877926,1.316498783,1.839673267,87.17,57.09,1740000,4194000,10601040,16.41,39.56
2021,226850,418581.34,334865.07,404067.70,1064687.82,851750.25,0.145186323,4.26E+12,3.066666667,1.476151959,2.107939472,75.32,95.25,1894800,3486000,9922740,19.10,35.13
2022,224723,473607.45,355205.59,403871.18,1678135.38,1258601.54,0.126425588,4.07E+12,6.872574386,1.58063744,3.116344002,89.57,162.65,1785000,3756000,10201140,17.50,36.82
