Year,Ton Exports (Viet),Value (Viet) ,Adjust Value (Viet - 2010 USD),Ton Exports (Brazil),Value (Brazil),Adjust Value (Brazil - 2010 USD),% Share of Viet Exports,GDP,Inflation,Unit Value (Viet),Unit Value (Brazil),Transport Cost (Viet),Transport Cost (Brazil),Total Production (Viet) ,Total Production (Brazil) ,Total Production (World),Total Production Percentage (Viet),Total Production Percentage (Brazil)
2010,53052,85456.85,85456.85,123967.87,390865.00,390865.00,0.04,5.75907E+12,-0.728243208,1.610812938,3.152954036,100,100,1164900,3270000,8484540,13.73,38.54
2011,50710,128252.00,124404.44,136198.17,671061.56,650929.71,0.04,6.23315E+12,-0.272455616,2.453252632,4.779283842,98.03,114,1560000,2952000,8690220,17.95,33.97
2012,76605,171232.66,162671.03,133720.38,561695.25,533610.48,0.04,6.27236E+12,-0.04406451,2.123504015,3.990494783,102.04,95.62,1590000,3456000,9481080,16.77,36.45
2013,78121,167606.72,157550.31,145569.92,455449.67,428122.69,0.06,5.21233E+12,0.335037912,2.016747252,2.941010716,104.84,98.32,1789980,3432000,9603240,18.64,35.74
2014,76165,167762.46,154341.47,140560.10,489582.45,450415.85,0.05,4.89699E+12,2.759226714,2.026415452,3.204435982,102.68,98.76,1644000,3258000,9227760,17.82,35.31
2015,118965,170955.75,157279.29,132128.60,440359.06,405130.33,0.09,4.44493E+12,0.795279631,1.322063548,3.066181995,86.37,62.43,1735800,2964000,9144240,18.98,32.41
2016,104450,202984.07,184715.51,134195.44,413583.11,376360.63,0.06,5.00368E+12,-0.127258844,1.768458645,2.804570876,85.53,60.4,1602000,3366000,9667740,16.57,34.82
2017,89725,209768.43,186693.90,107532.67,323976.68,288339.25,0.06,4.93084E+12,0.484199796,2.080734516,2.681410762,89.69,77.79,1758000,3126000,9590340,18.33,32.60
2018,105119,245253.94,213370.93,120652.27,324195.79,282050.34,0.06,5.04088E+12,0.989094598,2.02980363,2.337712646,98.69,94.46,1824000,3990000,10557360,17.28,37.79
2019,99967,171202.02,145521.72,148243.39,344652.92,292954.98,0.06,5.11799E+12,0.468776159,1.45569755,1.976175653,104.96,79.65,1878000,3630000,10144800,18.51,35.78
2020,102215,180503.02,151622.54,121085.47,292850.75,245994.63,0.07,5.04879E+12,-0.024995834,1.48336875,2.031578449,87.17,57.09,1740000,4194000,10601040,16.41,39.56
2021,112174,226451.34,181161.07,149401.86,403127.65,322502.12,0.07,5.00554E+12,-0.233352779,1.615000553,2.15862187,75.32,95.25,1894800,3486000,9922740,19.10,35.13
2022,109345,277581.36,208186.02,102826.27,385207.41,288905.56,0.06,4.23114E+12,2.497702782,1.903937263,2.80964736,89.57,162.65,1785000,3756000,10201140,17.50,36.82
